2025-12-29 19:41:05,676 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:41:05,996 | INFO     | Бот запущен | (main.py:31)
2025-12-29 19:41:21,013 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:41:36,009 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:43:18,512 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:43:18,731 | INFO     | Бот запущен | (main.py:31)
2025-12-29 19:43:33,742 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:43:48,743 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:45:23,481 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:45:23,719 | INFO     | Бот запущен | (main.py:31)
2025-12-29 19:45:38,731 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:49:36,239 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:49:36,474 | INFO     | Бот запущен | (main.py:31)
2025-12-29 19:49:51,480 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:50:06,485 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:50:21,478 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:50:36,479 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:50:51,489 | INFO     | Новых объявлений не найдено | (check_and_send.py:9)
2025-12-29 19:52:07,926 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:58:47,741 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 19:58:48,905 | INFO     | Бот запущен | (main.py:33)
2025-12-29 19:59:03,907 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 19:59:18,915 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 20:04:38,032 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 20:04:38,879 | INFO     | Бот запущен | (main.py:33)
2025-12-29 20:04:43,970 | INFO     | На мониторинг подписался пользователь llleooo1 с id 1645836096 | (handlers.py:40)
2025-12-29 20:04:53,407 | INFO     | С мониторинга отписался пользователь llleooo1 с id 1645836096 | (handlers.py:49)
2025-12-29 20:04:53,882 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 20:05:08,884 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:05:01,957 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:05:03,306 | INFO     | Бот запущен | (main.py:38)
2025-12-29 23:05:18,321 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:05:33,313 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:05:48,311 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:06:03,321 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:06:08,106 | INFO     | Зарегистрирован новый пользователь llleooo1 с id 1645836096 | (user.py:27)
2025-12-29 23:06:18,312 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:08:19,661 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:08:20,936 | INFO     | Бот запущен | (main.py:40)
2025-12-29 23:08:35,938 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:08:50,937 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:19:43,945 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:19:45,155 | INFO     | Бот запущен | (main.py:42)
2025-12-29 23:20:00,159 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:20:15,156 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:20:31,447 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:20:32,668 | INFO     | Бот запущен | (main.py:42)
2025-12-29 23:20:47,674 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:21:02,676 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:21:17,672 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:21:32,677 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:21:47,682 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:22:02,683 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:49:10,545 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:49:11,964 | INFO     | Бот запущен | (main.py:46)
2025-12-29 23:49:26,979 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:49:28,068 | INFO     | Зарегистрирован новый пользователь llleooo1 с id 1645836096 | (user.py:27)
2025-12-29 23:49:41,971 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:49:56,966 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:50:12,110 | INFO     | Таблицы созданы | (database.py:43)
2025-12-29 23:50:13,307 | INFO     | Бот запущен | (main.py:46)
2025-12-29 23:50:28,321 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:50:43,308 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:50:59,620 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:51:08,398 | INFO     | На мониторинг подписался пользователь llleooo1 с id 1645836096 | (user.py:40)
2025-12-29 23:51:14,970 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:51:30,149 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:51:44,569 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:51:59,408 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:52:14,256 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:52:20,493 | INFO     | Добавлен новый администратор 1 | (owner.py:66)
2025-12-29 23:52:30,242 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:52:44,573 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-29 23:52:59,326 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:01:07,894 | INFO     | Таблицы созданы | (database.py:43)
2025-12-30 00:01:09,312 | INFO     | Бот запущен | (main.py:46)
2025-12-30 00:01:25,477 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:01:40,745 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:01:55,136 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:02:10,233 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:02:25,143 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:02:40,744 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:02:55,285 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:03:10,344 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:03:25,398 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:03:40,446 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:03:55,477 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:04:46,791 | INFO     | Таблицы созданы | (database.py:43)
2025-12-30 00:04:48,206 | INFO     | Бот запущен | (main.py:46)
2025-12-30 00:05:04,113 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:05:05,825 | INFO     | 📋 Парсим группу: club234935586 | (vk_parser.py:93)
2025-12-30 00:05:19,253 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:05:34,215 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:05:50,062 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:06:04,208 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:06:19,371 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:06:34,316 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:06:49,162 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:07:04,421 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:09:33,597 | INFO     | Таблицы созданы | (database.py:43)
2025-12-30 00:09:36,059 | INFO     | Бот запущен | (main.py:46)
2025-12-30 00:09:52,778 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:10:07,307 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:10:22,019 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:10:34,527 | INFO     | 📋 Парсим группу: krasnoyarsk.podrabotka | (vk_parser.py:93)
2025-12-30 00:10:35,008 | INFO     | 📋 ID группы: 205439345, тип: <class 'int'> | (vk_parser.py:112)
2025-12-30 00:10:38,139 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:10:53,106 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
2025-12-30 00:11:08,240 | INFO     | Новых объявлений не найдено | (check_and_send.py:11)
